98333,5,5,5,5,5,5,5
98335,10,5,5,5,5,10,5
98335,5,5,5,5,5,5,5
98337,10,5,5,5,5,5,5
98338,5,5,5,5,10,5,5
98340,5,5,5,5,5,5,5
98342,25,5,5,5,5,25,5
98345,10,5,5,5,5,5,5
98346,10,5,5,5,5,10,5
98349,5,5,5,5,5,5,5
98349,5,5,5,5,5,5,5
98351,5,5,5,5,5,5,5
98353,5,5,5,5,5,5,5
98354,10,25,5,5,5,5,5
98354,10,25,5,5,25,10,5
98355,5,5,5,5,5,5,5
98359,10,5,5,5,5,10,5
98359,5,5,5,5,5,5,5
98360,10,5,5,5,25,5,5
98364,5,5,5,5,5,5,5
98366,25,10,5,5,5,10,5
98367,10,5,5,5,5,10,5
98370,10,5,5,5,5,5,5
98371,10,25,5,5,50,10,5
98371,10,10,5,5,50,10,5
98372,10,25,5,5,5,5,5
98372,10,25,5,5,50,10,5
98372,10,10,5,5,50,10,5
98373,10,10,5,5,50,10,5
98374,10,10,5,5,50,10,5
98374,5,5,5,5,5,5,5
98375,10,10,5,5,50,10,5
98380,5,5,5,5,5,5,5
98383,5,5,5,5,5,5,5
98385,5,5,5,5,5,5,5
98387,5,5,5,5,10,5,5
98388,5,5,5,5,5,5,5
98388,5,5,5,5,5,5,5
98390,10,25,5,5,50,5,5
98390,10,10,5,5,50,10,5
98392,10,5,5,5,5,25,5
98394,5,5,5,5,5,5,5
98394,5,5,5,5,5,5,5
98396,5,5,5,5,5,5,5
98402,10,10,5,5,10,10,5
98403,10,10,5,5,10,10,5
98404,10,10,5,5,25,10,5
98405,10,10,5,5,10,10,5
98406,10,10,5,5,10,10,5
98407,10,10,5,5,10,10,5
98408,10,10,5,5,10,10,5
98409,10,10,5,5,10,10,5
98421,10,25,5,5,25,10,5
98421,10,10,5,5,10,10,5
98422,10,25,5,5,5,10,5
98422,10,25,5,5,25,10,5
98424,10,25,5,5,25,10,5
98433,5,5,5,5,5,5,5
98439,5,10,5,5,10,5,5
